"V1","V2"
308.15,1
309.41,1
310.67,1
311.93,1
313.19,1
314.45,1
315.71,1
316.97,1
318.23,1
319.49,1
320.75,1
322.01,1
323.27,1
324.53,1
325.79,1
327.05,1
328.31,1
329.57,1
330.83,1
332.09,1
333.35,1
334.61,1
335.87,1
337.13,1
338.39,1
339.65,1
340.91,1
342.17,1
343.43,1
344.69,1
345.95,1
347.21,1
348.47,1
349.73,1
350.99,1
352.25,1
353.51,1
354.77,1
356.03,1
357.29,1
358.55,1
359.81,1
361.07,1
362.33,1
363.59,1
364.85,1
366.11,1
367.37,1
368.63,1
369.89,1
371.15,1
372.41,1
373.67,1
374.93,1
376.19,1
377.45,1
378.71,1
379.97,1
381.23,1
382.49,1
383.75,1
385.01,1
386.27,1
387.53,1
388.79,1
390.05,1
391.31,1
392.57,1
393.83,1
395.09,1
396.35,1
397.61,1
398.87,1
400.13,1
401.39,1
402.65,1
403.91,1
405.17,1
406.43,1
407.69,1
408.95,1
410.21,1
411.47,1
412.73,1
413.99,1
415.25,1
416.51,1
417.77,1
419.03,1
420.29,1
421.55,1
422.81,1
424.07,1
425.33,1
426.59,2
427.85,3
429.11,3
430.37,6
431.63,7
432.89,8
434.15,10
435.41,13
436.67,15
437.93,16
439.19,20
440.45,23
441.71,25
442.97,28
444.23,31
445.49,35
446.75,38
448.01,41
449.27,47
450.53,47
451.79,50
453.05,53
454.31,55
455.57,58
456.83,62
458.09,65
459.35,68
460.61,71
461.87,77
463.13,84
464.39,92
465.65,98
466.91,109
468.17,124
469.43,137
470.69,157
471.95,174
473.21,191
474.47,221
475.73,246
476.99,272
478.25,295
479.51,319
480.77,348
482.03,371
483.29,396
484.55,419
485.81,431
487.07,448
488.33,457
489.59,466
490.85,475
492.11,468
493.37,469
494.63,465
495.89,466
497.15,468
498.41,473
499.67,482
500.93,493
502.19,506
503.45,518
504.71,531
505.97,537
507.23,542
508.49,540
509.75,525
511.01,509
512.27,477
513.53,437
514.79,390
516.05,351
517.31,296
518.57,235
519.83,185
521.09,143
522.35,106
523.61,74
524.87,48
526.13,31
527.39,19
528.65,11
529.91,8
531.17,6
532.43,3
533.69,2
534.95,1
536.21,1
537.47,1
538.73,1
539.99,1
541.25,1
542.51,1
543.77,1
545.03,1
546.29,1
547.55,1
548.81,1
550.07,1
551.33,1
552.59,1
553.85,1
555.11,1
556.37,1
557.63,1
558.89,1
