"V1","V2"
343.45,8
344.15,8
344.95,8
345.65,9
346.45,10
347.25,9
348.05,9
348.75,11
349.55,10
350.25,11
350.95,13
351.85,15
352.65,14
353.35,13
354.15,14
354.95,18
355.65,19
356.45,19
357.15,22
358.15,23
358.85,23
359.75,25
360.55,25
361.25,26
361.95,29
362.65,31
363.45,33
364.25,36
364.95,40
365.75,41
366.65,45
367.15,45
368.05,49
368.75,50
369.45,58
370.35,59
370.95,64
371.65,67
372.45,70
373.05,75
373.95,75
374.75,81
375.45,87
376.15,89
376.95,97
377.75,101
378.45,107
379.25,108
380.05,117
380.85,115
381.65,120
382.45,125
383.65,130
382.85,134
383.75,137
384.55,136
385.15,138
385.95,140
386.65,142
387.45,143
388.25,141
388.85,143
389.65,136
390.45,138
391.05,131
391.75,133
392.55,128
393.35,121
394.25,120
394.95,116
395.55,109
396.35,102
397.15,102
397.75,96
398.55,92
399.35,90
400.05,91
400.85,88
401.45,88
402.45,87
403.05,91
403.85,93
404.55,94
405.25,97
406.15,104
406.85,106
407.75,105
408.35,119
409.15,123
409.85,124
410.55,132
411.35,140
411.95,146
412.85,152
413.65,160
414.35,165
415.15,175
415.85,190
416.65,189
417.25,200
417.95,211
418.75,217
419.65,224
420.35,228
421.05,239
421.75,243
422.55,246
423.35,255
424.05,256
424.75,266
425.55,267
426.25,267
426.95,274
427.85,273
428.45,277
429.35,271
429.95,270
430.75,268
431.55,265
432.25,265
433.05,259
433.75,255
434.45,248
435.25,242
436.15,239
436.75,231
437.55,228
438.15,230
438.85,224
439.75,224
440.45,225
441.15,217
441.95,221
442.75,220
443.45,233
444.25,234
444.95,246
445.75,246
446.45,251
447.15,265
447.95,268
448.75,281
449.45,291
450.15,300
450.95,312
451.65,329
452.35,336
453.15,353
453.75,367
454.55,369
455.35,379
456.15,391
456.85,403
457.65,405
458.35,421
459.05,423
459.95,428
460.65,442
461.45,447
462.25,447
463.05,456
463.75,451
464.45,451
465.35,449
465.95,459
466.75,456
467.35,451
468.25,446
468.95,453
469.75,455
470.45,452
471.15,452
471.95,452
472.65,464
473.45,473
474.35,485
475.05,493
475.85,516
476.45,523
477.35,550
477.85,565
478.75,576
479.35,591
480.05,611
480.75,630
481.65,647
482.25,652
482.75,666
483.65,671
484.35,673
485.05,679
485.85,663
486.45,657
487.25,651
487.85,635
488.75,610
489.45,583
490.05,556
490.75,521
491.45,480
492.25,441
492.95,399
493.75,360
494.25,316
495.15,277
495.65,241
496.55,203
497.45,171
498.05,139
498.85,116
499.45,95
500.25,78
500.95,61
501.65,50
502.45,45
503.25,34
504.05,31
504.95,28
505.65,25
506.45,23
507.05,21
507.85,22
508.65,21
509.55,19
510.35,20
510.85,19
511.65,20
512.45,18
513.15,18
513.95,16
514.75,16
515.45,18
516.25,18
516.95,17
517.75,15
518.55,15
519.35,17
520.15,15
520.85,16
521.65,16
522.45,15
523.15,16
523.85,16
524.75,17
525.45,15
526.45,20
527.05,16
527.95,17
528.65,16
529.35,17
530.15,16
530.85,17
531.65,16
532.45,16
533.05,19
533.85,18
